BotName, Behaviour, PositionX, PositionY, OrientationX, OrientationY,  DistanceToEnemyFlag, DistanceToOwnFlag, DistanceToEnemyBase, DistanceToOwnBase, DistanceToEnemyFlagScore, DistanceToOwnFlagScore, DistanceToEnemyFlagSpawn, DistanceToOwnFlagSpawn, Visibility, DistanceToNearestEnemy, GameState


0, 5, 38.019165, 2.828221, -0.57360214, 0.819134, 38, 29, 23, 3, 78, 89, 38, 57, 17, 27, 3
0, 5, 37.830338, 2.9945545, -0.5844642, 0.8114195, 37, 29, 24, 4, 77, 90, 37, 58, 19, 26, 3
0, 5, 37.96431, 3.3958824, 0.101914026, 0.99479324, 36, 28, 23, 3, 76, 89, 36, 57, 20, 25, 3
0, 5, 38.083652, 3.7533884, 0.26769888, 0.96350265, 37, 31, 22, 2, 77, 88, 37, 56, 17, 31, 3
0, 5, 38.210316, 4.132805, 0.30533585, 0.9522447, 36, 31, 21, 3, 76, 87, 36, 55, 17, 31, 3
0, 5, 38.339943, 4.5211034, 0.31402412, 0.949415, 36, 32, 21, 3, 76, 87, 36, 55, 17, 32, 3
0, 5, 38.445194, 4.83638, 0.31604084, 0.9487456, 36, 33, 21, 3, 76, 87, 36, 55, 17, 33, 3

0, 5, 38.762756, 10.115308, 0.9878288, 0.15554625, 42, 54, 19, 9, 70, 81, 42, 53, 35, 20, 3

0, 5, 39.524956, 10.184463, 0.9955819, 0.09389782, 43, 56, 18, 10, 71, 80, 43, 52, 36, 19, 3
0, 5, 40.150383, 10.225202, 0.9977719, 0.06672013, 44, 59, 17, 11, 72, 79, 44, 51, 37, 28, 3
0, 5, 41.005722, 10.262076, 0.9988196, 0.04857433, 45, 60, 16, 12, 73, 78, 45, 50, 36, 27, 3

0, 5, 4.372212, 44.154125, 0.114251435, -0.9934517, 102, 20, 117, 2, 90, 40, 102, 20, 24, 112, 3
0, 5, 4.372212, 44.154125, 0.114251435, -0.9934517, 102, 20, 117, 2, 90, 40, 102, 20, 24, 112, 3
0, 5, 4.372212, 44.154125, 0.114251435, -0.9934517, 102, 20, 117, 2, 90, 40, 102, 20, 24, 1000000, 3
0, 5, 4.4055543, 44.155586, 0.8941492, -0.44776845, 102, 20, 117, 2, 90, 40, 102, 20, 24, 1000000, 3
0, 5, 4.539141, 44.16469, 0.99844605, -0.055722952, 102, 20, 117, 2, 90, 40, 102, 20, 24, 1000000, 3
0, 5, 4.9746385, 44.194366, 0.9992299, 0.039242506, 102, 20, 117, 2, 90, 40, 102, 20, 24, 1000000, 3
0, 5, 5.7768583, 44.24904, 0.9981185, 0.061312377, 101, 19, 116, 1, 89, 39, 101, 19, 25, 1000000, 3
0, 5, 6.711116, 44.286366, 0.99914104, 0.041444838, 100, 18, 115, 0, 88, 38, 100, 18, 26, 1000000, 3
0, 5, 7.4248424, 44.308075, 0.9994564, 0.032972455, 99, 17, 114, 1, 87, 37, 99, 17, 26, 1000000, 3
0, 5, 8.101132, 44.325867, 0.9996627, 0.025972188, 98, 16, 113, 2, 86, 36, 98, 16, 26, 1000000, 3
0, 5, 8.871379, 44.336605, 0.9998599, 0.016739905, 98, 16, 113, 2, 86, 36, 98, 16, 26, 1000000, 3
