BotName, Behaviour, PositionX, PositionY, OrientationX, OrientationY,  DistanceToEnemyFlag, DistanceToOwnFlag, DistanceToEnemyBase, DistanceToOwnBase, DistanceToEnemyFlagScore, DistanceToOwnFlagScore, DistanceToEnemyFlagSpawn, DistanceToOwnFlagSpawn, Visibility, DistanceToNearestEnemy, GameState


1, 3, 24.640436, 12.390437, 0.2851621, -0.95848024, 62, 18, 79, 87, 50, 0, 62, 18, 45, 48, 3
1, 3, 24.625, 12.375, -0.03914706, -0.9992341, 62, 18, 79, 87, 50, 0, 62, 18, 45, 45, 3
1, 3, 24.630886, 12.374346, 0.4068117, -0.913512, 61, 18, 79, 87, 50, 0, 62, 18, 45, 41, 3

1, 3, 47.262432, 12.060982, -0.37977347, -0.92507946, 8, 5, 57, 51, 39, 47, 9, 5, 21, 1000000, 3

1, 3, 41.812176, 12.2226925, -0.9958523, -0.09098649, 20, 9, 51, 57, 45, 41, 5, 9, 27, 15, 3
1, 3, 40.65113, 12.113121, -0.120895654, -0.9926654, 25, 10, 50, 58, 46, 40, 6, 10, 21, 14, 3
1, 3, 40.819244, 12.036705, 0.7512055, -0.66006863, 26, 10, 50, 58, 46, 40, 6, 10, 21, 14, 3

1, 3, 68.725204, 28.894283, -0.4030291, 0.9151872, 26, 42, 68, 20, 34, 42, 46, 42, 62, 1000000, 3
1, 3, 68.51724, 29.292278, -0.48910338, 0.8722258, 25, 43, 69, 21, 33, 41, 47, 43, 57, 1000000, 3
1, 3, 68.24826, 29.588337, -0.63255453, 0.77451587, 26, 43, 69, 21, 33, 41, 47, 43, 57, 1000000, 3

1, 3, 7.030313, 40.979305, -0.96260566, 0.2709067, 1, 106, 42, 89, 21, 90, 3, 106, 35, 41, 3
1, 3, 6.4927535, 41.13067, -0.9625875, 0.27097148, 0, 108, 44, 89, 23, 92, 1, 108, 33, 1000000, 3
1, 3, 6.521203, 41.118042, 0.15296407, -0.9882319, 0, 108, 44, 89, 23, 92, 1, 108, 33, 1000000, 3
1, 3, 6.648257, 41.0627, 0.7991848, -0.6010854, 0, 108, 44, 89, 23, 92, 1, 108, 33, 1000000, 3
1, 3, 6.9121614, 40.947746, 0.89371735, -0.44863045, 1, 107, 43, 90, 22, 91, 2, 107, 34, 1000000, 3
1, 3, 7.4493823, 40.71375, 0.91167474, -0.4109131, 1, 106, 42, 89, 21, 90, 3, 106, 35, 1000000, 3
1, 3, 8.491885, 40.495956, 0.97268575, -0.2321248, 2, 105, 41, 88, 20, 89, 4, 105, 36, 1000000, 3
1, 3, 9.045662, 40.46039, 0.9946267, -0.1035254, 2, 104, 40, 87, 21, 88, 5, 104, 35, 1000000, 3
1, 3, 9.720357, 40.41705, 0.99731135, -0.07328093, 1, 104, 40, 87, 21, 88, 5, 104, 35, 1000000, 3
1, 3, 10.2649765, 40.382065, 0.9978041, -0.06623626, 1, 103, 41, 86, 22, 87, 6, 103, 27, 47, 3
1, 3, 11.083055, 40.592426, 0.9802235, 0.19789404, 1, 102, 42, 85, 23, 86, 7, 102, 26, 48, 3
1, 3, 12.037881, 40.92222, 0.95487815, 0.2969979, 2, 101, 43, 84, 24, 85, 8, 101, 25, 49, 3
1, 3, 12.942593, 41.18537, 0.96689487, 0.25517488, 0, 102, 44, 83, 25, 86, 7, 102, 30, 35, 3
1, 3, 13.634233, 41.263325, 0.98933935, 0.14562833, 0, 101, 45, 82, 26, 85, 8, 101, 31, 34, 3
1, 3, 14.310027, 41.339497, 0.9927938, 0.11983651, 0, 100, 46, 81, 27, 84, 9, 100, 32, 33, 3
1, 3, 15.098368, 41.379707, 0.99852246, 0.054341137, 0, 99, 47, 80, 28, 83, 10, 99, 34, 32, 3
1, 3, 16.057335, 41.37675, 0.9999472, 0.010277867, 1, 98, 46, 79, 27, 82, 11, 98, 34, 31, 3
1, 3, 16.910225, 40.905613, 0.8296555, -0.5582751, 1, 97, 45, 80, 26, 81, 12, 97, 36, 14, 3
