BotName, Behaviour, PositionX, PositionY, OrientationX, OrientationY,  DistanceToEnemyFlag, DistanceToOwnFlag, DistanceToEnemyBase, DistanceToOwnBase, DistanceToEnemyFlagScore, DistanceToOwnFlagScore, DistanceToEnemyFlagSpawn, DistanceToOwnFlagSpawn, Visibility, DistanceToNearestEnemy, GameState


7, 1, 24.496353, 4.1181498, -0.8035178, -0.5952804, 21, 56, 35, 17, 62, 101, 22, 69, 25, 26, 3
7, 1, 24.271612, 3.908805, -0.74928325, -0.6622497, 20, 58, 36, 18, 63, 102, 21, 70, 23, 27, 3
7, 1, 23.954939, 3.613828, -0.73585546, -0.67713904, 20, 59, 37, 19, 62, 103, 20, 71, 24, 28, 3
7, 1, 23.662245, 3.3411884, -0.73269, -0.68056285, 20, 59, 37, 19, 62, 103, 20, 71, 24, 28, 3
7, 1, 23.345152, 3.0458174, -0.7319515, -0.68135715, 20, 71, 37, 19, 62, 103, 20, 71, 24, 28, 3
7, 1, 22.983007, 2.7084813, -0.73183554, -0.6814817, 17, 73, 39, 21, 62, 105, 18, 73, 23, 31, 3
7, 1, 22.952835, 2.7160141, -0.9977148, -0.06756735, 17, 73, 39, 21, 62, 105, 18, 73, 23, 31, 3
7, 1, 22.803356, 2.7583299, -0.980856, 0.1947344, 16, 73, 39, 21, 62, 105, 18, 73, 23, 31, 3
7, 1, 22.450487, 2.858223, -0.96708286, 0.25446182, 15, 73, 39, 21, 62, 105, 18, 73, 23, 31, 3
7, 1, 21.666183, 2.9641726, -0.98676324, 0.1621679, 13, 74, 40, 22, 61, 106, 17, 74, 22, 32, 3
7, 1, 21.271448, 3.0174963, -0.9900859, 0.14046335, 14, 73, 39, 21, 60, 105, 18, 73, 21, 31, 3
7, 1, 20.59307, 3.109137, -0.99079037, 0.1354056, 13, 74, 40, 22, 59, 106, 17, 74, 21, 1000000, 3
7, 1, 20.02732, 3.1548388, -0.9961033, 0.088193715, 13, 74, 40, 22, 59, 106, 17, 74, 21, 1000000, 3
7, 1, 19.125448, 3.2131984, -0.99754214, 0.07007104, 12, 75, 41, 23, 58, 107, 16, 75, 23, 1000000, 3
7, 1, 18.162817, 3.117662, -0.99053353, -0.13727093, 12, 76, 42, 24, 57, 108, 15, 76, 23, 1000000, 3
7, 1, 17.409958, 2.6006896, -0.8805325, -0.4739858, 11, 78, 44, 26, 57, 110, 13, 78, 24, 1000000, 3
7, 1, 16.849722, 2.2159877, -0.83830553, -0.54520094, 10, 79, 45, 27, 56, 111, 12, 79, 24, 1000000, 3
7, 1, 16.28573, 1.8287086, -0.82764864, -0.56124663, 12, 80, 46, 28, 57, 112, 13, 80, 25, 1000000, 3
7, 1, 15.611679, 1.3658526, -0.8251261, -0.56494904, 12, 81, 47, 29, 56, 113, 12, 81, 24, 1000000, 3
7, 1, 14.81382, 1.7711307, -0.9989332, -0.04617691, 12, 82, 48, 30, 55, 114, 11, 82, 24, 1000000, 3
7, 1, 13.625, 2.375, 0.99999994, 5.9604645E-8, 80, 82, 48, 30, 53, 114, 9, 82, 18, 1000000, 3
