BotName, Behaviour, PositionX, PositionY, OrientationX, OrientationY,  DistanceToEnemyFlag, DistanceToOwnFlag, DistanceToEnemyBase, DistanceToOwnBase, DistanceToEnemyFlagScore, DistanceToOwnFlagScore, DistanceToEnemyFlagSpawn, DistanceToOwnFlagSpawn, Visibility, DistanceToNearestEnemy, GameState


4, 0, 9.882398, 42.20279, 0.7306527, -0.68274903, 85, 93, 39, 3, 37, 33, 85, 93, 66, 1000000, 3
4, 0, 17.888187, 41.16232, 0.8681427, -0.4963143, 76, 84, 42, 10, 28, 24, 76, 84, 67, 31, 3
4, 0, 19.154589, 40.588245, 0.9086833, -0.41748583, 73, 81, 43, 13, 25, 21, 73, 81, 65, 32, 3
4, 0, 21.31011, 38.693317, 0.7129474, -0.7012178, 69, 77, 43, 17, 21, 17, 69, 77, 61, 31, 3
4, 0, 21.598812, 38.401474, 0.7055303, -0.70868015, 69, 77, 43, 17, 21, 17, 69, 77, 61, 31, 3
4, 0, 22.489832, 37.50947, 0.7071308, -0.70708334, 67, 75, 43, 19, 19, 15, 67, 75, 58, 27, 3
4, 0, 23.165266, 36.834454, 0.70727885, -0.7069349, 65, 73, 43, 21, 17, 13, 65, 73, 56, 23, 3

4, 0, 23.841969, 36.09636, 0.66884434, -0.7434025, 65, 73, 43, 21, 17, 13, 65, 73, 56, 23, 3

4, 0, 24.34118, 35.385326, 0.5973251, -0.80199945, 63, 71, 43, 23, 15, 11, 63, 71, 56, 22, 3

4, 0, 24.726002, 34.837223, 0.57993466, -0.8146633, 62, 70, 42, 24, 14, 10, 62, 70, 59, 20, 3

4, 0, 25.22057, 34.374573, 0.7336868, -0.6794877, 61, 69, 43, 25, 13, 9, 61, 69, 51, 20, 3

4, 0, 25.979717, 34.057552, 0.9144719, -0.40464902, 61, 69, 43, 25, 13, 9, 61, 69, 51, 20, 3

4, 0, 27.607576, 34.112442, 0.12551689, -0.99209094, 59, 67, 45, 27, 11, 7, 59, 67, 44, 18, 3

4, 0, 27.462357, 33.97916, -0.5698636, -0.82173896, 58, 66, 44, 28, 10, 6, 58, 66, 50, 18, 3

4, 0, 27.170246, 33.71106, -0.7008723, -0.7132871, 58, 66, 44, 28, 10, 6, 58, 66, 50, 18, 3

4, 0, 26.875553, 33.440582, -0.7285651, -0.6849767, 59, 67, 43, 27, 11, 7, 59, 67, 53, 19, 3

4, 0, 26.568165, 33.158455, -0.73484373, -0.67823696, 59, 67, 43, 27, 11, 7, 59, 67, 53, 19, 3

4, 0, 26.332605, 32.942253, -0.736295, -0.6766609, 58, 66, 42, 28, 10, 6, 58, 66, 55, 18, 3

4, 0, 25.99147, 32.629154, -0.73663217, -0.6762942, 59, 67, 41, 27, 11, 7, 59, 67, 57, 20, 3

4, 0, 25.696777, 32.358677, -0.7367105, -0.6762086, 59, 67, 41, 27, 11, 7, 59, 67, 57, 20, 3

4, 0, 25.358097, 32.047836, -0.7367285, -0.6761886, 59, 67, 41, 27, 11, 7, 59, 67, 57, 20, 3

4, 0, 25.132032, 31.840353, -0.73673284, -0.6761842, 58, 66, 40, 28, 10, 6, 58, 66, 53, 20, 3

