PositionX, PositionY, is_walkable, is_shootable,  DistanceToEnemyFlag, DistanceToOwnFlag, DistanceToEnemyBase, DistanceToOwnBase, DistanceToEnemyFlagScore, DistanceToOwnFlagScore, DistanceToEnemyFlagSpawn, DistanceToOwnFlagSpawn, Visibility
0, 0, 1, 1, 50, 54, 28, 110, 90, 82, 50, 50, 24
0, 1, 1, 1, 49, 53, 27, 109, 89, 81, 49, 49, 25
0, 2, 1, 1, 48, 52, 26, 108, 88, 80, 48, 48, 26
0, 3, 1, 1, 47, 51, 25, 107, 87, 79, 47, 47, 27
0, 4, 1, 1, 46, 50, 24, 106, 86, 78, 46, 46, 28
0, 5, 1, 1, 45, 49, 23, 105, 85, 77, 45, 45, 29
0, 6, 1, 1, 46, 50, 22, 104, 84, 76, 46, 46, 29
0, 7, 1, 1, 47, 51, 21, 103, 83, 75, 47, 47, 29
0, 8, 1, 1, 48, 52, 20, 102, 82, 74, 48, 48, 29
0, 9, 1, 1, 47, 51, 19, 101, 81, 73, 47, 47, 29
0, 10, 1, 1, 46, 50, 18, 100, 80, 72, 46, 46, 23
0, 11, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
0, 12, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
0, 13, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
0, 14, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
0, 15, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
0, 16, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
0, 17, 1, 1, 51, 55, 11, 93, 73, 65, 51, 51, 16
0, 18, 1, 1, 52, 56, 10, 92, 72, 64, 52, 52, 19
0, 19, 1, 1, 53, 57, 9, 91, 71, 63, 53, 53, 21
0, 20, 1, 1, 54, 58, 8, 90, 70, 62, 54, 54, 22
0, 21, 1, 1, 55, 59, 7, 89, 69, 61, 55, 55, 22
0, 22, 1, 1, 56, 60, 6, 88, 68, 60, 56, 56, 23
0, 23, 1, 1, 57, 61, 5, 87, 67, 59, 57, 57, 22
0, 24, 1, 1, 58, 62, 4, 86, 66, 58, 58, 58, 21
0, 25, 1, 1, 59, 63, 3, 85, 65, 57, 59, 59, 21
0, 26, 1, 1, 60, 64, 4, 86, 64, 56, 60, 60, 19
0, 27, 1, 1, 61, 65, 5, 87, 63, 55, 61, 61, 18
0, 28, 1, 1, 62, 66, 6, 88, 62, 54, 62, 62, 18
0, 29, 1, 1, 63, 67, 7, 89, 61, 53, 63, 63, 16
0, 30, 1, 1, 64, 68, 8, 90, 60, 52, 64, 64, 16
0, 31, 1, 1, 65, 69, 9, 91, 59, 51, 65, 65, 17
0, 32, 1, 1, 66, 70, 10, 92, 58, 50, 66, 66, 17
0, 33, 1, 1, 67, 71, 11, 93, 57, 49, 67, 67, 18
0, 34, 1, 1, 68, 72, 12, 94, 56, 48, 68, 68, 18
0, 35, 1, 1, 69, 73, 13, 95, 55, 47, 69, 69, 17
0, 36, 1, 1, 70, 74, 14, 96, 54, 46, 70, 70, 16
0, 37, 1, 1, 71, 75, 15, 97, 53, 45, 71, 71, 16
0, 38, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
0, 39, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
0, 40, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
0, 41, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
0, 42, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
0, 43, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
0, 44, 1, 1, 78, 82, 28, 104, 54, 46, 78, 78, 14
0, 45, 1, 1, 79, 83, 29, 105, 55, 47, 79, 79, 15
0, 46, 1, 1, 80, 84, 30, 106, 54, 46, 80, 80, 17
0, 47, 1, 1, 81, 85, 31, 107, 53, 45, 81, 81, 17
0, 48, 1, 1, 82, 86, 32, 108, 54, 46, 82, 82, 17
0, 49, 1, 1, 83, 87, 33, 109, 55, 47, 83, 83, 17
1, 0, 1, 1, 49, 53, 27, 109, 89, 81, 49, 49, 26
1, 1, 1, 1, 48, 52, 26, 108, 88, 80, 48, 48, 27
1, 2, 1, 1, 47, 51, 25, 107, 87, 79, 47, 47, 29
1, 3, 1, 1, 46, 50, 24, 106, 86, 78, 46, 46, 30
1, 4, 1, 1, 45, 49, 23, 105, 85, 77, 45, 45, 30
1, 5, 1, 1, 44, 48, 22, 104, 84, 76, 44, 44, 31
1, 6, 1, 1, 45, 49, 21, 103, 83, 75, 45, 45, 31
1, 7, 1, 1, 46, 50, 20, 102, 82, 74, 46, 46, 31
1, 8, 1, 1, 47, 51, 19, 101, 81, 73, 47, 47, 32
1, 9, 1, 1, 46, 50, 18, 100, 80, 72, 46, 46, 32
1, 10, 1, 1, 45, 49, 17, 99, 79, 71, 45, 45, 32
1, 11, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
1, 12, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
1, 13, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
1, 14, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
1, 15, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
1, 16, 0, 0, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 0
1, 17, 1, 1, 50, 54, 10, 92, 72, 64, 50, 50, 20
1, 18, 1, 1, 51, 55, 9, 91, 71, 63, 51, 51, 21
1, 19, 1, 1, 52, 56, 8, 90, 70, 62, 52, 52, 21
1, 20, 1, 1, 53, 57, 7, 89, 69, 61, 53, 53, 23
1, 21, 1, 1, 54, 58, 6, 88, 68, 60, 54, 54, 24
